1 CANAL SUR HD
3 The Africa Channel
4 GODTV
6 SLA TV
11 VENEVISION
12 TV Venezuela HD
13 FOLK
14 ZEE Living
15 CANAL SUR SD
16 CANAL SUR PERU SD
17 ESTUDIO 5










